dada2_input	filtered	dada_f	dada_r	merged	nonchim	final_perc_reads_retained
Ext_Neg_2_1_	35832	32204	32046	32028	31596	31135	86.9
Ext_Neg_3_1_	29660	24994	24908	24829	24599	24004	80.9
Ext_Neg_4_1_	8841	7781	7529	7589	7165	6989	79.1
Ext_Neg_5_1_	14243	12537	12396	12353	11938	11218	78.8
Ext_Neg_6_1_	20644	17776	17311	17486	16600	15453	74.9
Ext_Neg_7_1_	12195	10869	10805	10749	10554	10155	83.3
Ext_Neg_8_1_	33678	29357	29221	29245	29038	28914	85.9
Ext_Neg_9_1_	52942	47900	47689	47675	46988	46501	87.8
Extraction_Neg1_1_	139466	130483	129099	128950	122676	104190	74.7
Extraction_Neg2_1_	113622	101404	100306	100522	96284	90713	79.8
Extraction_Neg3_1_	46843	43771	43291	43308	41942	40671	86.8
Extraction_Neg4_1_	90816	77563	76750	77035	70325	68776	75.7
Extraction_Neg5_1_	10076	9622	9520	9443	9256	9020	89.5
Extraction_Neg6_1_	4820	4372	4219	4171	3889	3823	79.3
Extraction_Neg7_1_	13133	12351	11960	12021	11069	10076	76.7
Extraction_Neg8_1_	9223	8476	8291	8300	8001	7544	81.8
Lib_Blk_1_1_	4852	4375	4298	4320	4215	4004	82.5
Lib_Blk_10_1_	741	677	649	647	616	603	81.4
Lib_Blk_2_1_	10469	9045	8837	8841	8451	7357	70.3
Lib_Blk_3_1_	19858	17886	17701	17711	17282	16891	85.1
Lib_Blk_4_1_	127985	118790	117572	117302	111531	85906	67.1
Lib_Blk_5_1_	30333	25560	25362	25361	24780	23929	78.9
Lib_Blk_6_1_	20957	18037	17959	17845	17563	17065	81.4
Lib_Blk_7_1_	7779	6886	6681	6777	6358	5597	72
Lib_Blk_8_1_	13896	12444	12291	12341	12050	11773	84.7
Lib_Blk_9_1_	8819	8247	8108	8144	7864	7004	79.4
PCR_Blk_1_1_	103408	92074	90798	91492	86945	83603	80.8
PCR_Blk_10_1_	23388	21375	20994	21009	20128	18336	78.4
PCR_Blk_2_1_	18192	16126	15909	15955	15367	14524	79.8
PCR_Blk_3_1_	6519	5856	5728	5742	5476	5054	77.5
PCR_Blk_4_1_	10845	9150	8876	8923	8428	8248	76.1
PCR_Blk_5_1_	17432	14822	14650	14662	14307	13963	80.1
PCR_Blk_6_1_	4853	4314	4236	4241	4097	3849	79.3
PCR_Blk_7_1_	11140	10509	10369	10305	10031	9765	87.7
PCR_Blk_8_1_	29270	27359	27044	26917	26177	25514	87.2
PCR_Blk_9_1_	8669	8083	7902	7833	7349	6887	79.4
Pro_Feed_1_1_	124800	117020	116281	115495	112877	109123	87.4
Pro_Feed_2_1_	42081	37275	36808	36417	34962	33698	80.1
